Datetime,X,Y,Device
2021-09-05 07:19:54,545.6,279.05,1
2021-09-05 07:19:54,540.8,277.45,2
2021-09-05 07:19:56,548.8,277.45,1
2021-09-05 07:19:56,531.2,269.45,2
2021-09-05 07:19:58,542.4,275.85,1
2021-09-05 07:19:58,529.6,267.85,2
2021-09-05 07:20:00,542.4,277.45,1
2021-09-05 07:20:00,540.8,275.85,2
2021-09-05 07:20:02,539.2,274.25,1
2021-09-05 07:20:02,529.6,269.45,2
2021-09-05 07:20:04,548.8,280.65,1
2021-09-05 07:20:04,532.8,277.45,2
2021-09-05 07:20:06,547.2,277.45,1
2021-09-05 07:20:06,529.6,267.85,2
2021-09-05 07:20:08,545.6,282.25,1
2021-09-05 07:20:08,529.6,272.65,2
2021-09-05 07:20:10,547.2,275.85,1
2021-09-05 07:20:10,529.6,267.85,2
2021-09-05 07:20:12,545.6,274.25,1
2021-09-05 07:20:12,542.4,280.65,2
2021-09-05 07:20:14,547.2,271.05,1
2021-09-05 07:20:14,542.4,275.85,2
2021-09-05 07:20:16,555.2,275.85,1
2021-09-05 07:20:16,545.6,277.45,2
2021-09-05 07:20:18,553.6,264.65,1
2021-09-05 07:20:18,545.6,264.65,2
2021-09-05 07:20:20,556.8,266.25,1
2021-09-05 07:20:20,548.8,258.25,2
2021-09-05 07:20:22,548.8,247.05,2
2021-09-05 07:20:23,560.0,253.45,1
2021-09-05 07:20:24,571.2,259.85,1
2021-09-05 07:20:24,556.8,256.65,2
2021-09-05 07:20:27,579.2,258.25,1
2021-09-05 07:20:27,568.0,250.25,2
2021-09-05 07:20:29,582.4,247.05,1
2021-09-05 07:20:29,571.2,248.65,2
2021-09-05 07:20:31,595.2,245.45,1
2021-09-05 07:20:31,580.8,234.25,2
2021-09-05 07:20:32,590.4,227.85,2
2021-09-05 07:20:33,603.2,242.25,1
2021-09-05 07:20:34,600.0,234.25,2
2021-09-05 07:20:35,612.8,232.65,1
2021-09-05 07:20:37,620.8,231.05,1
2021-09-05 07:20:37,614.4,223.05,2
2021-09-05 07:20:39,627.2,226.25,1
2021-09-05 07:20:39,625.6,223.05,2
2021-09-05 07:20:41,638.4,224.65,1
2021-09-05 07:20:41,635.2,216.65,2
2021-09-05 07:20:42,654.4,215.05,1
2021-09-05 07:20:43,640.0,210.25,2
2021-09-05 07:20:45,664.0,210.25,1
2021-09-05 07:20:45,656.0,208.65,2
2021-09-05 07:20:47,678.4,202.25,1
2021-09-05 07:20:47,665.6,202.25,2
2021-09-05 07:20:49,689.6,202.25,1
2021-09-05 07:20:49,683.2,208.65,2
2021-09-05 07:20:50,689.6,194.25,2
2021-09-05 07:20:51,699.2,207.05,1
2021-09-05 07:20:53,713.6,207.05,1
2021-09-05 07:20:53,710.4,202.25,2
2021-09-05 07:20:55,720.0,197.45,1
2021-09-05 07:20:55,708.8,192.65,2
2021-09-05 07:20:57,728.0,192.65,1
2021-09-05 07:20:57,721.6,191.05,2
2021-09-05 07:20:59,739.2,191.05,1
2021-09-05 07:20:59,731.2,192.65,2
2021-09-05 07:21:01,753.6,191.05,1
2021-09-05 07:21:01,742.4,192.65,2
2021-09-05 07:21:03,760.0,184.65,1
2021-09-05 07:21:04,758.4,178.25,2
2021-09-05 07:21:05,768.0,184.65,1
2021-09-05 07:21:06,768.0,189.45,2
2021-09-05 07:21:07,782.4,195.85,1
2021-09-05 07:21:08,774.4,186.25,2
2021-09-05 07:21:09,788.8,191.05,1
2021-09-05 07:21:11,793.6,189.45,1
2021-09-05 07:21:11,784.0,186.25,2
2021-09-05 07:21:13,801.6,173.45,1
2021-09-05 07:21:13,785.6,179.85,2
2021-09-05 07:21:15,808.0,173.45,1
2021-09-05 07:21:15,800.0,176.65,2
2021-09-05 07:21:17,819.2,168.65,1
2021-09-05 07:21:17,806.4,171.85,2
2021-09-05 07:21:19,835.2,168.65,1
2021-09-05 07:21:19,817.6,167.05,2
2021-09-05 07:21:21,838.4,170.25,1
2021-09-05 07:21:21,825.6,165.45,2
2021-09-05 07:21:23,844.8,171.85,1
2021-09-05 07:21:23,836.8,170.25,2
2021-09-05 07:21:25,857.6,170.25,1
2021-09-05 07:21:25,838.4,170.25,2
2021-09-05 07:21:27,860.8,167.05,1
2021-09-05 07:21:27,848.0,170.25,2
2021-09-05 07:21:29,867.2,168.65,1
2021-09-05 07:21:29,851.2,173.45,2
2021-09-05 07:21:31,878.4,176.65,1
2021-09-05 07:21:31,865.6,173.45,2
2021-09-05 07:21:33,888.0,167.05,1
2021-09-05 07:21:35,892.8,173.45,1
2021-09-05 07:21:35,888.0,167.05,2
2021-09-05 07:21:37,902.4,171.85,1
2021-09-05 07:21:37,889.6,170.25,2
2021-09-05 07:21:39,908.8,168.65,1
2021-09-05 07:21:39,899.2,167.05,2
2021-09-05 07:21:41,915.2,168.65,1
2021-09-05 07:21:41,902.4,170.25,2
2021-09-05 07:21:43,923.2,170.25,1
2021-09-05 07:21:43,912.0,157.45,2
2021-09-05 07:21:45,929.6,170.25,1
2021-09-05 07:21:45,913.6,167.05,2
2021-09-05 07:21:47,928.0,175.05,1
